,Id,WashingtoniansAffected,Year,DaysToIdentifyBreach,DaysElapsedBeforeNotification,Revenue
count,138.0,138.0,138.0,138.0,138.0,138.0
mean,10202.173913043478,1575.2608695652175,2021.5869565217392,20.847826086956523,1.963768115942029,27150712.644927535
std,709.9128651481283,8581.05386080913,1.0855941954616053,141.09865587123878,13.474717835047917,50440839.37016057
min,9561.0,0.0,2020.0,0.0,0.0,128.0
25%,9629.25,0.0,2021.0,0.0,0.0,1948250.0
50%,10405.5,0.0,2022.0,0.0,0.0,6625000.0
75%,10497.0,0.0,2023.0,0.0,0.0,20751500.0
max,13499.0,72378.0,2023.0,1625.0,124.0,242290000.0
