,Revenue,WashingtoniansAffected,DaysToIdentifyBreach,DaysElapsedBeforeNotification
Revenue,1.0,-0.052106544985022235,-0.06914854497971536,-0.03615650124301133
WashingtoniansAffected,-0.052106544985022235,1.0,0.04978417996428038,-0.0010138096853996067
DaysToIdentifyBreach,-0.06914854497971536,0.04978417996428038,1.0,0.09755412292098267
DaysElapsedBeforeNotification,-0.03615650124301133,-0.0010138096853996067,0.09755412292098267,1.0
